R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
PAO,urb,comm,perm,sr21_std,wood,SSP2,2100,471.40972878721,0,2.345934053329,28.062632218105875,0,0.13965151868178466
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2025,3.09768485992,0,0,0.006180279289188888,0,0
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2030,7.19158512651,0,0.026416549188000002,0.014348136309436089,0,5.2704409654716225e-5
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2035,10.61643799913,0,0.062735811872,0.021181157818834916,0,1.2516600504448513e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2040,13.45417710618,0,0.093593829766,0.02684281193295788,0,1.8673171541201217e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2045,15.78458262678,0,0.11853503207800001,0.03149227035938657,0,2.3649261849506643e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2050,17.68295083994,0,0.137536680242,0.03527975884888716,0,2.744033479330042e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2055,19.21850423907,0,0.150896088426,0.03834338516958779,0,3.010570836902071e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2060,20.45345749576,0,0.159126535456,0.04080727558471371,0,3.1747788297112193e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2070,22.32663567481,0,0.159116457918,0.044544506719724083,0,3.1745777698803976e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2080,23.51201910358,0,0.155430804423,0.04690949895936855,0,3.1010442472906806e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2090,24.2804163816,0,0.141972447781,0.04844255025346912,0,2.8325327408515834e-4
PAO,urb,comm,perm,sr22_low,aluminum,SSP2,2100,24.81103835735,0,0.12347021333,0.04950120926993244,0,2.4633893916982885e-4
PAO,urb,comm,perm,sr22_low,cement,SSP2,2025,3.09768485992,0,0,0.46492923918049345,0,0
PAO,urb,comm,perm,sr22_low,cement,SSP2,2030,7.19158512651,0,0.026416549188000002,1.0793797150354403,0,0.0039648404118384425
PAO,urb,comm,perm,sr22_low,cement,SSP2,2035,10.61643799913,0,0.062735811872,1.5934133602828353,0,0.009415971798943035
PAO,urb,comm,perm,sr22_low,cement,SSP2,2040,13.45417710618,0,0.093593829766,2.0193275328651175,0,0.014047428977723318
PAO,urb,comm,perm,sr22_low,cement,SSP2,2045,15.78458262678,0,0.11853503207800001,2.3690963811083052,0,0.017790835663535894
PAO,urb,comm,perm,sr22_low,cement,SSP2,2050,17.68295083994,0,0.137536680242,2.654021068073301,0,0.020642779041756782
PAO,urb,comm,perm,sr22_low,cement,SSP2,2055,19.21850423907,0,0.150896088426,2.884491146813644,0,0.022647882776889214
PAO,urb,comm,perm,sr22_low,cement,SSP2,2060,20.45345749576,0,0.159126535456,3.0698443715671724,0,0.023883184509897678
PAO,urb,comm,perm,sr22_low,cement,SSP2,2070,22.32663567481,0,0.159116457918,3.350988304865058,0,0.023881671979641365
PAO,urb,comm,perm,sr22_low,cement,SSP2,2080,23.51201910358,0,0.155430804423,3.528901630654252,0,0.02332849496106061
PAO,urb,comm,perm,sr22_low,cement,SSP2,2090,24.2804163816,0,0.141972447781,3.6442298121876786,0,0.0213085401247425
PAO,urb,comm,perm,sr22_low,cement,SSP2,2100,24.81103835735,0,0.12347021333,3.723870473724911,0,0.018531553382887582
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2025,3.09768485992,0,0,3.09952826120329,0,0
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2030,7.19158512651,0,0.026416549188000002,7.195864766902934,0,0.026432269412256286
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2035,10.61643799913,0,0.062735811872,10.622755735218902,0,0.0627731453262869
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2040,13.45417710618,0,0.093593829766,13.462183552434118,0,0.09364952651815546
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2045,15.78458262678,0,0.11853503207800001,15.79397587405537,0,0.11860557109023931
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2050,17.68295083994,0,0.137536680242,17.69347378715534,0,0.1376185269450452
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2055,19.21850423907,0,0.150896088426,19.22994097875763,0,0.15098588517926143
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2060,20.45345749576,0,0.159126535456,20.46562914378115,0,0.15922123006598451
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2070,22.32663567481,0,0.159116457918,22.339922032433723,0,0.15921114653094243
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2080,23.51201910358,0,0.155430804423,23.52601087102835,0,0.15552329974040408
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2090,24.2804163816,0,0.141972447781,24.294865414584525,0,0.14205693416495
PAO,urb,comm,perm,sr22_low,concrete,SSP2,2100,24.81103835735,0,0.12347021333,24.825803158166075,0,0.12354368921925056
PAO,urb,comm,perm,sr22_low,copper,SSP2,2025,3.09768485992,0,0,2.1015665833437836e-4,0,0
PAO,urb,comm,perm,sr22_low,copper,SSP2,2030,7.19158512651,0,0.026416549188000002,4.8789969498498024e-4,0,1.7921815656287226e-6
PAO,urb,comm,perm,sr22_low,copper,SSP2,2035,10.61643799913,0,0.062735811872,7.202524576269824e-4,0,4.2561942796383224e-6
